GID,NUMSTAT,IDENT,ADRESSE,COMMUNE,DATESERV,LIGNCORR,NBSUPPOR,NOM,TARIF,TERMBANC,TYPEA,GEOM_O,CDATE,MDATE
153,96,101,"avenue de Laroque, derrière la station tram",BORDEAUX,,C/Lianes 7/Lianes 14/Lianes 15/Corol 33/Corol 35/Corol 37/Flexo 57/202/704/705/706,26,Les Aubiers,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
155,19,32,58 allées de Tourny,BORDEAUX,,56 exp/Lianes 15/Lianes 4/Lianes 5/Lianes 6/83/Lianes 1/Lianes 2/Lianes 3/Citéis 47,20,Place Tourny,VLS,OUI,VCUB,0,20160617111044,20160617113652
157,30,41,"place Mondésir, face à La Poste",MERIGNAC,,Citéis 41/Citéis 42/Lianes 1,18,Place Mondésir,VLS,OUI,VCUB,0,20160617111044,20160617113652
158,89,96,Square Leclerc,MERIGNAC,,A/30/Citéis 42/Corol 33/Corol 35/Lianes 11/603/701/702,21,Mérignac Centre,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
160,173,401,Rue Achard (face à la rue Pourmann),BORDEAUX,,B,20,Rue Achard (ouverture prévue fin 2016),VLS,OUI,VCUB,0,20160617111044,20160617113652
162,82,89,avenue de Canéjean,PESSAC,,B/24/Corol 34/Flexo 54,20,Châtaigneraie,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
163,88,95,place Jean Jaurès,MERIGNAC,,71/Corol 33/Corol 35/Lianes 16/701/702,18,Capeyron,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
164,174,402,Quai de Queyries (en face de la rue Hortense),BORDEAUX,,91/92/Citéis 45/Flexo 50,20,Darwin (ouverture prévue septembre 2016),VLS,OUI,VCUB,0,20160617111044,20160617113652
166,77,85,place Bernard Roumegoux,GRADIGNAN,,Corol 36/Lianes 10/505,20,Place Bernard Roumegoux,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
168,151,260,Avenue Salvador Allende,FLOIRAC,,A/28/Corol 32/Citéis 63/Flexo 52/80,20,Dravemont,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
170,168,383,rue Dupaty,BLANQUEFORT,,56 exp/Corol 37/Lianes 6/Spécifique 77,20,Mairie de Blanquefort,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
171,6,13,"cours d'Albret, square André Lhote",BORDEAUX,,Lianes 15/Lianes 16/Lianes 4/Lianes 5/Lianes 6,20,Square André Lhote,VLS,OUI,VCUB,0,20160617111044,20160617113652
173,171,381,22 et 23 Place A Larrieu,BORDEAUX,,Lianes 11/Lianes 4,20,Place Amédée Larrieu,VLS,OUI,VCUB,0,20160617111044,20160617113652
1,146,341,Avenue Jean Gabriel Domergue,BORDEAUX,,C/Corol 32,30,Palais des Congrès,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
2,158,340,Avenue de Magudas,LE HAILLAN,,A/30/Flexo 48/71,20,Le Haillan Rostand,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
3,153,270,Face au 325 Chemin de Leysotte,VILLENAVE-D'ORNON,,87,20,Parc Sourreil,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
4,147,352,Allée Louis Ratabou,BORDEAUX,,C,30,Parc des Expositions,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
5,12,27,24 avenue Louis Barthou,BORDEAUX,,Lianes 2,16,Grand Lebrun,VLS,OUI,VCUB,0,20160617111044,20160617113652
6,157,350,2 rue Alphonse Daudet,MERIGNAC,,A/Lianes 16/Corol 34/71,20,Les Pins,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
7,166,370,Voie d'accès au centre commercial entre Leroy Merlin et Auchan,BORDEAUX,,Lianes 7/Lianes 15,20,Centre commercial du Lac,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
8,94,99,rue de la gare,BLANQUEFORT,,TER/84/29/704,18,Gare de Blanquefort (réouverture prévue fin 2016),VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
9,163,364,route de Toulouse,BEGLES,,C/Lianes 5/Lianes 15/Corol 34/Citéis 43,20,Lycée Václav Havel,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
11,144,290,92 Rue André Messager,BRUGES,,,19,Jean Moulin,VLS,OUI,VCUB,0,20160617111044,20160617113652
13,161,323,62-64 avenue de Soulac,LE TAILLAN-MEDOC,,Lianes 5/Résago Taillan/Spécifique 79,15,Le Taillan Mairie,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
16,135,134,Place Duburg,BORDEAUX,,Citéis 45/24/Citéis 47,20,Place St Michel,VLS,OUI,VCUB,0,20160617111044,20160617113652
18,142,251,Face au 160 avenue de Verdun,MERIGNAC,,Lianes 1,20,Bourranville,VLS,OUI,VCUB,0,20160617111044,20160617113652
20,156,351,39 rue Maurice Utrillo,MERIGNAC,,A,20,Hôtel de ville Mérignac,VLS,OUI,VCUB,0,20160617111044,20160617113652
23,154,293,221 Avenue de Thouars,TALENCE,,Lianes 8,20,Thouars,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
25,149,252,9 Avenue de la Résistance,LORMONT,,A/Citéis 40,20,Lauriers,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
27,148,291,Avenue du Docteur Schinazi,BORDEAUX,,B,14,Berges de la Garonne,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
29,21,34,1 place Puy Paulin,BORDEAUX,,B/Citéis 47,15,Puy Paulin,VLS,OUI,VCUB,0,20160617111044,20160617113652
31,3,19,167 rue Judaïque,BORDEAUX,,Lianes 1/Lianes 16,18,Place Tartas,VLS,OUI,VCUB,0,20160617111044,20160617113652
34,9,24,206 rue d'Ornano,BORDEAUX,,A,20,Gaviniès,VLS,OUI,VCUB,0,20160617111044,20160617113652
35,17,31,1 rue Emile Fourcand,BORDEAUX,,26,14,Palais Gallien,VLS,OUI,VCUB,0,20160617111044,20160617113652
38,43,52,9 rue Ravez,BORDEAUX,,A/Citéis 47,18,St Paul,VLS,OUI,VCUB,0,20160617111044,20160617113652
39,60,69,face au 1 allées de Chartres,BORDEAUX,,B,20,Allées de Chartres,VLS,OUI,VCUB,0,20160617111044,20160617113656
41,50,59,14 boulevard Godard,BORDEAUX,,Lianes 9,14,Mandron Godard,VLS,OUI,VCUB,0,20160617111044,20160617113656
44,75,83,111 avenue Lucien Lerousseau,BEGLES,,Lianes 15/Citéis 43,18,Bègles Poste,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
46,103,107,"40, cours Alsace et Lorraine",BORDEAUX,,A,20,Place du Palais,VLS,OUI,VCUB,0,20160617111044,20160617113652
48,102,106,6 quai de la Douane,BORDEAUX,,C,20,Place de la Bourse,VLS,OUI,VCUB,0,20160617111044,20160617113652
51,98,102,83 quai de Bacalan,BORDEAUX,,B/Corol 32,18,Bassins à flot,VLS,OUI,VCUB,0,20160617111044,20160617113652
53,99,103,face au 36 quai de Bacalan,BORDEAUX,,B,20,Les Hangars,VLS,OUI,VCUB,0,20160617111044,20160617113652
55,109,113,276 cours de l'Argonne,BORDEAUX,,B/Lianes 9/26,36,Barrière St Genès,VLS,OUI,VCUB,0,20160617111044,20160617113652
57,42,51,"31, 33 rue du Pas St Georges",BORDEAUX,,Citéis 47,20,Camille Jullian,VLS,OUI,VCUB,0,20160617111044,20160617113652
59,138,137,"9, 10 place Dormoy",BORDEAUX,,Lianes 9/Lianes 15,18,Barbey,VLS,OUI,VCUB,0,20160617111044,20160617113652
62,136,135,place Pierre Renaudel,BORDEAUX,,C/58/Citéis 45/Lianes 10,18,Eglise Ste Croix,VLS,OUI,VCUB,0,20160617111044,20160617113652
65,123,3,face au 42 quai Richelieu,BORDEAUX,,A/C/24/Citéis 45,36,Porte de Bourgogne,VLS,OUI,VCUB,0,20160617111044,20160617113652
67,34,2,face au 10 rue de Tivoli,BORDEAUX,,72/29,14,Tivoli,VLS,OUI,VCUB,0,20160617111044,20160617113652
69,58,67,face au 73 quai des Chartrons,BORDEAUX,,B,18,Chartrons,VLS,OUI,VCUB,0,20160617111044,20160617113656
71,107,111,face au 20 rue Brian,BORDEAUX,,B,15,St Nicolas,VLS,OUI,VCUB,0,20160617111044,20160617113652
73,69,78,5 place Calixte Camelle,BORDEAUX,,Citéis 45,14,Cours Le Rouzic,VLS,OUI,VCUB,0,20160617111044,20160617113656
75,116,119,station tram Montaigne Montesquieu,PESSAC,,B,40,Montaigne Montesquieu,VLS,OUI,VCUB,0,20160617111044,20160617113652
77,108,112,rue Grateloup,BORDEAUX,,B/26,16,Bergonié,VLS,OUI,VCUB,0,20160617111044,20160617113652
80,55,64,35 cours Evrard de Fayolle,BORDEAUX,,C/Lianes 15/72,16,Camille Godard,VLS,OUI,VCUB,0,20160617111044,20160617113656
82,91,7,face au 4 rue Georges Clémenceau,LE HAILLAN,,30/Lianes 3/701/702,16,Mairie du Haillan,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
84,51,60,rue Jean Artus,BORDEAUX,,Lianes 9,20,Place Ampère,VLS,OUI,VCUB,0,20160617111044,20160617113656
87,93,11,3 avenue de Picot,EYSINES,,72/Lianes 2/Lianes 5/Spécifique 78/Spécifique 79,16,Eysines Centre,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113652
91,10,25,115 boulevard Antoine Gautier,BORDEAUX,,A/Lianes 9,22,Stade Chaban Delmas,VLS,OUI,VCUB,0,20160617111044,20160617113652
93,13,28,6 avenue Charles de Gaulle,BORDEAUX,,83/Lianes 2/Lianes 3/Lianes 9,20,Barriere St Medard,VLS,OUI,VCUB,0,20160617111044,20160617113652
95,22,35,Place Pey Berland (trémie de sortie du parking),BORDEAUX,,A/B,33,Hôtel de Ville,VLS,OUI,VCUB,0,20160617111044,20160617113652
98,39,48,face au 9 cours du 30 Juillet,BORDEAUX,,B/C/26/29/83/Citéis 47/Lianes 1/Lianes 2/Lianes 3,40,Quinconces,VLS,OUI,VCUB,0,20160617111044,20160617113652
100,52,61,"cours de Luze, face à la mairie annexe",BORDEAUX,,Lianes 15,18,Place de l'Europe,VLS,OUI,VCUB,0,20160617111044,20160617113656
103,63,72,face au 10 av du Pdt F. Mitterrand,FLOIRAC,,Lianes 10/28/Corol 32/Flexo 52,18,François Mitterrand,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
106,79,86,2 rue Gustave Eiffel,PESSAC,,24/Citéis 44/Corol 34/Flexo 54,20,Pessac Bersol,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
108,87,94,"3, av Rudolf Diesel",MERIGNAC,,Lianes 1/Flexo 48,20,Kennedy Parc Hôtelier,VLS PLUS,OUI,VCUB,0,20160617111044,20160617113656
109,104,108,12 place de la Ferme de Richemont,BORDEAUX,,24/Citéis 45/citéis 47,17,Grosse Cloche,VLS,OUI,VCUB,0,20160617111044,20160617113652
110,106,110,23 place de la Victoire,BORDEAUX,,B/Lianes 5/Lianes 11/Lianes 15/Lianes 16/Citéis 45/Citéis 43/20/701/702,40,Place de la Victoire,VLS,OUI,VCUB,0,20160617111044,20160617113652
111,110,114,angle allée du 7ème Art / cours de la Libération,TALENCE,,B/20,41,Forum,VLS,OUI,VCUB,0,20160617111044,20160617113652
112,112,115,"av des Facultés, derrière la station Tram.",TALENCE,,B/58/87/Corol 34/Lianes 8,40,Arts et Métiers,VLS,OUI,VCUB,0,20160617111044,20160617113652
113,118,120,"allée de Boutaut, au niveau du P+R",LE BOUSCAT,,TER/C/73/Citéis 46/Lianes 9/Corol 32/704/705/706,20,Le Bouscat Ravezies,VLS,OUI,VCUB,0,20160617111044,20160617113652
114,128,127,"place du Cardinal Donnet, face au 112 rue Pelleport",BORDEAUX,,Lianes 9,16,Sacré Coeur,VLS,OUI,VCUB,0,20160617111044,20160617113652
115,129,128,parking du cinéma Le Festival,BEGLES,,Citéis 43/Lianes 15/Lianes 10/26,17,Barrière de Bègles,VLS,OUI,VCUB,0,20160617111044,20160617113652
